"plant_density","rep","yield_Mgha"
4,1,8.68513229429536
7,1,9.67626114160486
10,1,12.3367169676085
13,1,10.7839708657812
16,1,9.61342700166946
4,2,9.39391316287958
7,2,8.56813005484826
10,2,10.6802832210825
13,2,12.7348098078639
16,2,9.82529482052409
4,3,9.20990674727048
7,3,10.5135791810069
10,3,11.5745860077757
13,3,9.82229432613004
16,3,7.21152786109549
4,4,8.61354016132746
7,4,12.2375402585415
10,4,10.9336940041219
13,4,9.73944733612115
16,4,6.73483314668962
4,5,10.6712224713065
7,5,10.7377535295649
10,5,12.9614335403819
13,5,11.8223853168824
16,5,8.04934541097204
